id,title,date,time,location,description,price,image,category
61,Volleyball Tournament,2025-09-08,14:00,Goa,Beach volleyball competition with teams from across the country.,₹200,img/volleyball.avif,Sports
62,Mosaic Art Workshop,2025-07-25,13:00,Jaipur Rajasthan,Create beautiful mosaic artworks with professional guidance.,₹900,img/mosaic-art.jpg,Cultural
63,Rock Concert,2025-08-28,20:00,Delhi NCR,Electrifying performances by popular rock bands.,₹1200,img/rock-concert.jpg,Music
64,Baking Masterclass,2025-06-15,11:00,Bangalore Karnataka,Learn baking techniques from renowned pastry chefs.,₹1100,img/baking-class.webp,Food
65,Agricultural Expo,2025-09-18,09:00,Chandigarh,Showcasing modern agricultural technologies and practices.,₹150,img/agricultural-expo.jpg,Business
66,Swimming Competition,2025-07-18,09:00,Mumbai Maharashtra,National level swimming championship with various categories.,₹300,img/swimming.webp,Sports
67,Traditional Dance Festival,2025-08-10,16:00,Bhubaneswar Odisha,Showcasing diverse traditional dance forms from different states.,₹400,img/traditional-dance.jpg,Cultural
68,Graphic Design Workshop,2025-06-30,10:00,Delhi NCR,Comprehensive training in graphic design tools and techniques.,₹1000,img/graphic-design.jpeg,Tech and coding
69,Plant-Based Cooking Class,2025-09-05,12:00,Chennai Tamil Nadu,Learn to prepare nutritious and delicious plant-based meals.,₹800,img/plant-based-cooking.webp,Food
70,Franchise Business Expo,2025-07-20,10:00,Bangalore Karnataka,Explore franchise opportunities from various industries.,₹500,img/franchise-expo.jpeg,Business
71,Archery Competition,2025-08-05,14:00,Jaipur Rajasthan,Test your precision and skill in this traditional sport.,₹250,img/archery.jpeg,Sports
72,Puppet Show Festival,2025-06-18,17:00,Udaipur Rajasthan,Traditional puppet shows narrating folk tales and legends.,₹150,img/puppet-show.jpg,Cultural
73,Opera Performance,2025-09-15,19:00,Mumbai Maharashtra,World-class opera singers performing classical pieces.,₹1500,img/opera.avif,Music
74,Cheese Making Workshop,2025-07-08,13:00,Ooty Tamil Nadu,Learn the art of making artisanal cheese varieties.,₹950,img/cheese-making.jpeg,Food
75,Social Media Marketing Seminar,2025-08-12,10:00,Delhi NCR,Strategies to leverage social media for business growth.,₹1100,img/social-media-marketing.jpg,Business
76,Table Tennis Tournament,2025-06-25,15:00,Pune Maharashtra,Competitive matches between skilled table tennis players.,₹200,img/table-tennis.jpeg,Sports
77,Calligraphy Workshop,2025-09-02,11:00,Bangalore Karnataka,Learn the beautiful art of stylized handwriting.,₹700,img/calligraphy.jpg,Cultural
78,Astronomy Night,2025-07-15,20:00,Ladakh,Stargazing and celestial observations with professional astronomers.,₹600,img/astronomy.webp,Education
79,Street Food Festival,2025-08-20,11:00,Lucknow Uttar Pradesh,Variety of authentic street foods from across India.,₹400,img/street-food.jpeg,Food
80,Women Entrepreneurs Meet,2025-06-10,10:00,Mumbai Maharashtra,Networking event for women business owners and professionals.,₹700,img/women-entrepreneurs.jpeg,Business
81,Cricket Workshop,2025-09-10,09:00,Delhi NCR,Cricket coaching sessions for aspiring players.,₹500,img/cricket-workshop.jpg,Sports
82,Glass Painting Workshop,2025-07-22,14:00,Chennai Tamil Nadu,Create beautiful art pieces on glass with expert guidance.,₹800,img/glass-painting.jpeg,Cultural
83,Classical Orchestra Performance,2025-08-15,18:30,Bangalore Karnataka,Symphony orchestra performing classical masterpieces.,₹1000,img/orchestra.jpg,Music
84,Coffee Tasting Workshop,2025-06-22,11:00,Coorg Karnataka,Sample premium coffee varieties and learn about coffee making.,₹650,img/coffee-tasting.jpg,Food
85,Supply Chain Management Conference,2025-09-08,09:00,Ahmedabad Gujarat,Latest trends and innovations in supply chain operations.,₹1300,img/supply-chain.jpg,Business
86,Squash Tournament,2025-07-05,10:00,Mumbai Maharashtra,Fast-paced racquet sport competition with professional players.,₹300,img/squash.jpeg,Sports
87,Origami Workshop,2025-08-08,15:00,Pune Maharashtra,Learn the Japanese art of paper folding from skilled artists.,₹500,img/origami.jpeg,Cultural
88,Robotics Workshop,2025-06-15,10:00,Delhi NCR,Hands-on training in building and programming robots.,₹1200,img/robotics.jpeg,Tech and coding
89,Beer Brewing Workshop,2025-09-12,13:00,Bangalore Karnataka,Learn the craft of brewing artisanal beer varieties.,₹1500,img/beer-brewing.jpeg,Food
90,Stock Market Workshop,2025-07-25,10:00,Mumbai Maharashtra,Strategies for effective stock market investments.,₹900,img/stock-market.jpg,Business
91,Horse Riding Workshop,2025-08-18,09:00,Jaipur Rajasthan,Basic horse riding lessons for beginners.,₹1000,img/horse-riding.jpeg,Sports
92,Mask Making Workshop,2025-06-28,14:00,Kolkata West Bengal,Create decorative masks using various materials and techniques.,₹600,img/mask-making.jpg,Cultural
93,Country Music Concert,2025-09-20,19:00,Goa,Performances featuring authentic country music styles.,₹800,img/country-music.jpg,Music
94,Bread Baking Workshop,2025-07-15,11:00,Chennai Tamil Nadu,Master the art of baking different types of bread.,₹700,img/bread-baking.jpeg,Food
95,Hospitality Industry Conference,2025-08-10,09:00,Delhi NCR,Insights into trends and opportunities in the hospitality sector.,₹1100,img/hospitality-conference.webp,Business
96,Fencing Competition,2025-06-20,15:00,Bangalore Karnataka,Olympic sport featuring skilled fencers with swords.,₹350,img/fencing.jpeg,Sports
97,Pottery Painting Workshop,2025-09-05,13:00,Jaipur Rajasthan,Add colorful designs to pre-made ceramic pottery items.,₹600,img/pottery-painting.webp,Cultural
98,Ethical Hacking Workshop,2025-07-28,10:00,Hyderabad Telangana,Learn cybersecurity techniques and protective measures.,₹1400,img/ethical-hacking.png,Tech and coding
99,Dessert Making Workshop,2025-08-22,14:00,Mumbai Maharashtra,Create delicious desserts with professional pastry chefs.,₹900,img/dessert-making.webp,Food
100,Cryptocurrency Investment Seminar,2025-06-30,11:00,Bangalore Karnataka,Understanding digital currencies and blockchain investments.,₹1200,img/cryptocurrency.jpeg,Business
